listing_id,id_x,date,temp_max,temp_min,apparent_temp_max,apparent_temp_min,rain,wind_speed,wind_gust,humidity,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price,sentiment_stars,weather_category,weather_sentence,weather_sentiment_score
282586,1111450750094474774,2024-03-13,24.0,15.5,23.0,15.7,0.0,19.9,58.0,66.125,Ward 54,Entire cottage,Entire home/apt,t,3842.0,4.54,,,
282586,1114419562997415617,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 54,Entire cottage,Entire home/apt,t,3842.0,4.94,,,
1075794,1110070817498195458,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 115,Entire rental unit,Entire home/apt,f,1260.0,4.05,,,
282606,1114342533475881457,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 59,Private room in rental unit,Private room,f,366.0,4.74,,,
1101917,1117974150900395558,2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375,Ward 62,Entire villa,Entire home/apt,t,5482.0,4.68,,,
286894,1105714085688668299,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 54,Entire rental unit,Entire home/apt,t,1143.0,3.93,,,
286894,1110746013097371947,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 54,Entire rental unit,Entire home/apt,t,1143.0,4.54,,,
286894,1120229699686967456,2024-03-25,22.3,15.3,22.3,13.9,0.0,21.4,62.3,77.79166667,Ward 54,Entire rental unit,Entire home/apt,t,1143.0,4.8,,,
1182416,1109988779443361862,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 115,Entire condo,Entire home/apt,t,1260.0,3.27,,,
1194568,1110761107637849081,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 54,Entire rental unit,Entire home/apt,t,1094.0,4.46,Heat,"Try Kleinsky's for the most delicious hot filled bagels, Kanela coffee for brunch and outdoor seating, and Kimchi for Korean barbecue.",4.36
1194568,1113698712039739829,2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667,Ward 54,Entire rental unit,Entire home/apt,t,1094.0,4.9,,,
1194568,1118742276050001069,2024-03-23,20.7,14.5,20.2,14.9,0.0,16.0,45.0,72.91666667,Ward 54,Entire rental unit,Entire home/apt,t,1094.0,4.87,,,
1234685,1104170567751455462,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 54,Entire rental unit,Entire home/apt,f,2158.0,4.16,,,
1241945,1104892079118859368,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 54,Entire villa,Entire home/apt,t,8790.0,4.96,,,
1241945,1121561416977307019,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 54,Entire villa,Entire home/apt,t,8790.0,4.63,,,
1241945,1123757317851550933,2024-03-30,33.8,15.2,34.8,15.1,0.0,17.4,46.8,58.75,Ward 54,Entire villa,Entire home/apt,t,8790.0,3.96,,,
1331613,1120192888713461971,2024-03-25,22.3,15.3,22.3,13.9,0.0,21.4,62.3,77.79166667,Ward 58,Entire guest suite,Entire home/apt,t,1286.0,4.95,,,
357793,1110014135981335579,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 115,Entire rental unit,Entire home/apt,t,2000.0,4.4,,,
1333749,1107854804618116393,2024-03-08,23.6,16.7,25.1,17.2,1.7,18.1,55.8,81.125,Ward 54,Entire rental unit,Entire home/apt,t,2438.0,4.27,,,
1333749,1109258750341572920,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 54,Entire rental unit,Entire home/apt,t,2438.0,4.55,,,
1558929,1102737201228747604,2024-03-01,23.4,15.8,25.7,16.2,0.0,18.0,51.5,83.0,Ward 115,Entire rental unit,Entire home/apt,t,1164.0,4.75,,,
1558929,1120208011783204447,2024-03-25,22.3,15.3,22.3,13.9,0.0,21.4,62.3,77.79166667,Ward 115,Entire rental unit,Entire home/apt,t,1164.0,4.69,,,
400107,1104894331768145553,2024-03-04,18.8,15.3,19.8,15.5,18.5,18.5,57.2,89.95833333,Ward 54,Entire villa,Entire home/apt,t,10858.0,4.69,,,
400107,1113701826140747483,2024-03-16,22.0,16.5,20.1,12.8,0.2,35.0,94.0,70.04166667,Ward 54,Entire villa,Entire home/apt,t,10858.0,3.85,Heat,"Note that with the pool inside, it is very hot in the main room, but there are fans available.",3.3
400107,1118055416056316617,2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375,Ward 54,Entire villa,Entire home/apt,t,10858.0,4.67,,,
469356,1105684897377007526,2024-03-05,23.0,15.1,23.4,14.8,0.2,14.5,43.2,68.54166667,Ward 71,Entire cottage,Entire home/apt,f,4850.0,4.62,,,
469356,1115098256843237707,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 71,Entire cottage,Entire home/apt,f,4850.0,4.64,,,
471729,1118031136901681355,2024-03-22,23.2,15.4,23.6,16.7,2.1,15.8,47.9,85.375,Ward 61,Entire cottage,Entire home/apt,f,937.0,4.86,,,
1595157,1104237060761986522,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.73,,,
1595157,1109358764490800532,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.91,,,
1595157,1110727654518834282,2024-03-12,25.4,17.4,26.0,18.4,0.2,17.3,51.1,77.41666667,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.9,,,
1595157,1115077355166925260,2024-03-18,31.6,15.2,33.0,15.3,0.0,19.6,52.2,66.45833333,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.57,,,
1595157,1117248792320322729,2024-03-21,33.5,17.7,35.1,19.3,0.0,8.1,28.4,58.875,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.64,,,
1595157,1121592524636561618,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 61,Entire cottage,Entire home/apt,t,1113.0,4.88,,,
473856,1121672475303028196,2024-03-27,23.8,16.4,22.9,12.9,0.0,31.1,85.3,74.375,Ward 115,Entire rental unit,Entire home/apt,t,2172.0,4.64,,,
1595205,1103441540117119384,2024-03-02,25.9,17.5,26.0,14.2,0.0,38.9,106.6,79.29166667,Ward 64,Entire rental unit,Entire home/apt,t,1814.0,4.94,,,
1595205,1106353971401615569,2024-03-06,24.3,14.4,25.4,13.1,0.0,14.2,40.7,67.0,Ward 64,Entire rental unit,Entire home/apt,t,1814.0,4.91,,,
1595205,1110030242271282275,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 64,Entire rental unit,Entire home/apt,t,1814.0,4.43,,,
1595205,1124463538146714182,2024-03-31,19.4,15.1,19.4,14.9,2.7,22.8,76.0,89.58333333,Ward 64,Entire rental unit,Entire home/apt,t,1814.0,4.63,,,
1626659,1120836411613818261,2024-03-26,24.2,15.6,24.0,14.9,0.1,29.2,81.4,78.41666667,Ward 23,Private room in guesthouse,Private room,t,759.0,4.82,,,
516875,1117232336079753411,2024-03-21,33.5,17.7,35.1,19.3,0.0,8.1,28.4,58.875,Ward 115,Entire rental unit,Entire home/apt,,1980.0,4.95,,,
518837,1110001494413705288,2024-03-11,30.9,15.5,34.2,15.9,0.0,25.6,66.2,71.125,Ward 61,Entire rental unit,Entire home/apt,t,975.0,4.55,,,
518837,1114398426591171467,2024-03-17,27.7,15.8,27.0,12.9,0.0,33.6,92.5,61.5,Ward 61,Entire rental unit,Entire home/apt,t,975.0,4.64,,,
518837,1118701536833496757,2024-03-23,20.7,14.5,20.2,14.9,0.0,16.0,45.0,72.91666667,Ward 61,Entire rental unit,Entire home/apt,t,975.0,4.02,,,
563459,1104227264585698226,2024-03-03,27.4,18.4,27.7,15.9,0.0,31.1,92.5,72.91666667,Ward 115,Entire home,Entire home/apt,f,890.0,4.93,,,
563459,1109278743212735125,2024-03-10,24.8,17.2,24.9,15.4,0.0,27.4,69.5,72.875,Ward 115,Entire home,Entire home/apt,f,890.0,4.88,,,
563459,1112154730106029899,2024-03-14,24.7,16.5,25.5,15.2,0.0,21.7,56.9,68.20833333,Ward 115,Entire home,Entire home/apt,f,890.0,4.5,,,
