review_id,listing_id,date_key,sentiment_stars
1104210506354708276,811611,2024-03-03,4.66
1103441466021813759,1058642,2024-03-02,4.85
1111432704861488244,1058642,2024-03-13,4.94
1121657290201040531,1058642,2024-03-27,4.92
1121592524636561618,1595157,2024-03-27,4.88
1118701536833496757,518837,2024-03-23,4.02
1105728273048093874,742345,2024-03-05,4.57
1104899799521659423,1852938,2024-03-04,4.8
1115101606607341099,2765720,2024-03-18,4.72
1115082570057570428,3014209,2024-03-18,4.48
1121588230071582160,3014209,2024-03-27,4.73
1117284312110210621,2053265,2024-03-21,4.84
1117959420451758756,3030455,2024-03-22,4.08
1117268373550640879,3057403,2024-03-21,4.61
1108665170206254434,3790952,2024-03-09,1.99
1119489567527740322,3799507,2024-03-24,4.81
1123795703475198553,3911634,2024-03-30,4.65
1104984526459139206,2522313,2024-03-04,4.53
1116573772388232417,2529479,2024-03-20,4.79
1123854518972222487,2598290,2024-03-30,4.73
1106366622982729792,2635024,2024-03-06,4.9
1120177590434586302,3973830,2024-03-25,4.71
1110730859055689964,4197434,2024-03-12,4.67
1107841298366379350,4201424,2024-03-08,4.81
1112939327428142595,4458181,2024-03-15,4.94
1112138246392698746,4467695,2024-03-14,4.26
1104219840596913479,4560861,2024-03-03,4.19
1112872215620797853,4569367,2024-03-15,4.47
1104241492749681183,4390786,2024-03-03,4.83
1108626765699616446,4569933,2024-03-09,4.79
1120119857297400386,4591898,2024-03-25,4.6
1118674864993585352,4820554,2024-03-23,4.9
1104211151869834694,4875598,2024-03-03,4.74
1124508743888377249,5011028,2024-03-31,4.61
1123053217550403733,5323318,2024-03-29,4.91
1119422213203640760,5148889,2024-03-24,4.76
1123813906110096997,5442946,2024-03-30,4.76
1123757317851550933,1241945,2024-03-30,3.96
1104227264585698226,563459,2024-03-03,4.93
1123075179013440971,1923621,2024-03-29,4.64
1112909475447683320,2735215,2024-03-15,4.42
1119457204262674432,3161617,2024-03-24,4.01
1104191420179380363,3265646,2024-03-03,4.37
1124459755600463489,3677171,2024-03-31,4.42
1121583101479665863,3740207,2024-03-27,3.39
1123028350721757279,3749105,2024-03-29,4.85
1123784204727932131,2446152,2024-03-30,4.32
1123766866428047270,3756239,2024-03-30,4.72
1115140159676067327,3911634,2024-03-18,4.84
1117248685420347913,2646412,2024-03-21,4.84
1121570586007533840,2646412,2024-03-27,4.8
1115140354421337098,4090938,2024-03-18,4.61
1120929747112112165,4435697,2024-03-26,4.71
1114404832557650413,4462435,2024-03-17,4.39
1120181231052312109,4267384,2024-03-25,4.61
1119466114956936480,4274670,2024-03-24,4.88
1109999615668202867,4560984,2024-03-11,3.35
1122333518183408854,4352782,2024-03-28,4.88
1117937571096920325,4569367,2024-03-22,4.62
1122367369118336855,4390786,2024-03-28,4.73
1106409791480515233,4569933,2024-03-06,4.93
1118003694299551634,4569933,2024-03-22,4.86
1104899204355946861,4576887,2024-03-04,3.92
1115868706769937455,4858427,2024-03-19,4.87
1115129441376969866,4660086,2024-03-18,4.66
1123829451849108593,4888362,2024-03-30,4.82
1112189242176155548,4761092,2024-03-14,3.7
1121652431694867427,5259123,2024-03-27,4.4
1121603316328536926,897063,2024-03-27,4.06
1118742276050001069,1194568,2024-03-23,4.87
1104170567751455462,1234685,2024-03-03,4.16
1109258750341572920,1333749,2024-03-10,4.55
1104894331768145553,400107,2024-03-04,4.69
1118024515355435070,563459,2024-03-22,4.42
1123796232155275820,1690757,2024-03-30,4.76
1104284479482508479,2712487,2024-03-03,3.85
1111442965934098094,2712487,2024-03-13,4.61
1118703045730543474,3024048,2024-03-23,4.38
1120956046885827143,2080138,2024-03-26,4.85
1111416837186064070,2166889,2024-03-13,4.29
1117988645255142744,2224057,2024-03-22,4.38
1112171071049370669,2370212,2024-03-14,4.72
1105004460511188545,3973020,2024-03-04,4.63
1121601175115743502,3975291,2024-03-27,4.4
1110000135707682210,4045171,2024-03-11,4.43
