listing_id,neighbourhood_cleansed,property_type,room_type,host_is_superhost,price
2442614,Ward 64,Entire guesthouse,Entire home/apt,true,2020.0
2529479,Ward 71,Entire guest suite,Entire home/apt,true,1400.0
4321498,Ward 62,Entire rental unit,Entire home/apt,true,906.0
4619681,Ward 73,Entire townhouse,Entire home/apt,false,600.0
4629835,Ward 115,Entire rental unit,Entire home/apt,false,863.0
4860778,Ward 23,Private room in home,Private room,true,723.0
5107995,Ward 77,Entire home,Entire home/apt,true,2633.0
5147999,Ward 61,Entire guest suite,Entire home/apt,true,755.0
5201253,Ward 74,Entire home,Entire home/apt,true,7000.0
5435586,Ward 74,Entire rental unit,Entire home/apt,true,2094.0
5259123,Ward 84,Entire guest suite,Entire home/apt,true,630.0
1945481,Ward 57,Entire townhouse,Entire home/apt,false,1500.0
2015634,Ward 54,Entire villa,Entire home/apt,false,9900.0
3589058,Ward 77,Entire townhouse,Entire home/apt,false,1277.0
3740207,Ward 74,Entire cottage,Entire home/apt,true,950.0
2468991,Ward 77,Entire home,Entire home/apt,true,2479.0
4043468,Ward 74,Entire cottage,Entire home/apt,false,3650.0
4135729,Ward 71,Private room in rental unit,Private room,true,990.0
4228894,Ward 59,Entire home,Entire home/apt,false,6500.0
4274759,Ward 23,Entire guest suite,Entire home/apt,false,1035.0
4560984,Ward 115,Entire rental unit,Entire home/apt,false,819.0
4646142,Ward 115,Entire rental unit,Entire home/apt,,1212.0
5062830,Ward 70,Private room in guesthouse,Private room,false,1240.0
4761092,Ward 59,Entire rental unit,Entire home/apt,true,970.0
5148889,Ward 54,Entire villa,Entire home/apt,true,18386.0
5254873,Ward 64,Entire guest suite,Entire home/apt,true,415.0
